time,ava
2013-07-08T00:00:00Z,73.52
2013-07-09T00:00:00Z,73.13
2013-07-10T00:00:00Z,80.725
2013-07-11T00:00:00Z,86.905
2013-07-12T00:00:00Z,93.3
2013-07-13T00:00:00Z,89.595
2013-07-14T00:00:00Z,90.935
2013-07-15T00:00:00Z,91.555
2013-07-16T00:00:00Z,91.495
2013-07-17T00:00:00Z,90.685
2013-07-18T00:00:00Z,84
2013-07-19T00:00:00Z,85.605
2013-07-20T00:00:00Z,85.67
2013-07-21T00:00:00Z,85.62
2013-07-22T00:00:00Z,85.04
2013-07-23T00:00:00Z,85.44
2013-07-24T00:00:00Z,87.105
2013-07-25T00:00:00Z,88.87
2013-07-26T00:00:00Z,90.165
2013-07-27T00:00:00Z,88.98
2013-07-28T00:00:00Z,90.955
2013-07-29T00:00:00Z,92.02
2013-07-30T00:00:00Z,94.85
2013-07-31T00:00:00Z,98
2013-08-01T00:00:00Z,96.795
2013-08-02T00:00:00Z,95.87
2013-08-03T00:00:00Z,95.49
2013-08-04T00:00:00Z,96.055
2013-08-05T00:00:00Z,97.46
2013-08-06T00:00:00Z,98.025
2013-08-07T00:00:00Z,96.91
2013-08-08T00:00:00Z,94.125
2013-08-09T00:00:00Z,92.875
2013-08-10T00:00:00Z,93.195
2013-08-11T00:00:00Z,93.85
2013-08-12T00:00:00Z,94.745
2013-08-13T00:00:00Z,96.215
2013-08-14T00:00:00Z,99.015
2013-08-15T00:00:00Z,98.345
2013-08-16T00:00:00Z,97.75
2013-08-17T00:00:00Z,98.65
2013-08-18T00:00:00Z,99.2
2013-08-19T00:00:00Z,102.08
2013-08-20T00:00:00Z,102.63
2013-08-21T00:00:00Z,109.28
2013-08-22T00:00:00Z,110.5
2013-08-23T00:00:00Z,107.05
2013-08-24T00:00:00Z,108.485
2013-08-25T00:00:00Z,111.215
2013-08-26T00:00:00Z,111.785
2013-08-27T00:00:00Z,115.345
2013-08-28T00:00:00Z,118.335
2013-08-29T00:00:00Z,118.5
2013-08-30T00:00:00Z,122.09
2013-08-31T00:00:00Z,129.875
2013-09-01T00:00:00Z,129.44
2013-09-02T00:00:00Z,130.26
2013-09-03T00:00:00Z,129
2013-09-04T00:00:00Z,122.575
2013-09-05T00:00:00Z,121.785
2013-09-06T00:00:00Z,119.875
2013-09-07T00:00:00Z,118.83
2013-09-08T00:00:00Z,118.47
2013-09-09T00:00:00Z,119.565
2013-09-10T00:00:00Z,122.53
2013-09-11T00:00:00Z,122.86
2013-09-12T00:00:00Z,125.8
2013-09-13T00:00:00Z,126.92
2013-09-14T00:00:00Z,125.525
2013-09-15T00:00:00Z,124.625
2013-09-16T00:00:00Z,125.37
2013-09-17T00:00:00Z,126.58
2013-09-18T00:00:00Z,126.1
2013-09-19T00:00:00Z,125.485
2013-09-20T00:00:00Z,123.59
2013-09-21T00:00:00Z,122.9
2013-09-22T00:00:00Z,122.925
2013-09-23T00:00:00Z,122.765
2013-09-24T00:00:00Z,122.89
2013-09-25T00:00:00Z,124.115
2013-09-26T00:00:00Z,123.95
2013-09-27T00:00:00Z,125.655
2013-09-28T00:00:00Z,125.505
2013-09-29T00:00:00Z,127.44
2013-09-30T00:00:00Z,125.15
2013-10-01T00:00:00Z,126.735
2013-10-02T00:00:00Z,106.4
2013-10-03T00:00:00Z,110.395
2013-10-04T00:00:00Z,119.73
2013-10-05T00:00:00Z,121.7
2013-10-06T00:00:00Z,121.81
2013-10-07T00:00:00Z,122.3
2013-10-08T00:00:00Z,123.67
2013-10-09T00:00:00Z,125.145
2013-10-10T00:00:00Z,125.85
2013-10-11T00:00:00Z,126.675
2013-10-12T00:00:00Z,127.005
2013-10-13T00:00:00Z,130.285
2013-10-14T00:00:00Z,135.11
2013-10-15T00:00:00Z,140.74
2013-10-16T00:00:00Z,142.19
2013-10-17T00:00:00Z,140
2013-10-18T00:00:00Z,148.96
2013-10-19T00:00:00Z,162.22
2013-10-20T00:00:00Z,164.57
2013-10-21T00:00:00Z,173.99
2013-10-22T00:00:00Z,187.635
2013-10-23T00:00:00Z,194.48
2013-10-24T00:00:00Z,181.4
2013-10-25T00:00:00Z,180.835
2013-10-26T00:00:00Z,183.5
2013-10-27T00:00:00Z,187.25
2013-10-28T00:00:00Z,194.15
2013-10-29T00:00:00Z,200.16
2013-10-30T00:00:00Z,200.5
2013-10-31T00:00:00Z,199.425
2013-11-01T00:00:00Z,201.885
2013-11-02T00:00:00Z,203.175
2013-11-03T00:00:00Z,206.755
2013-11-04T00:00:00Z,218.81
2013-11-05T00:00:00Z,238.395
2013-11-06T00:00:00Z,253.055
2013-11-07T00:00:00Z,280.52
2013-11-08T00:00:00Z,311.63
2013-11-09T00:00:00Z,331.3
2013-11-10T00:00:00Z,303.125
2013-11-11T00:00:00Z,330
2013-11-12T00:00:00Z,348.505
2013-11-13T00:00:00Z,377.415
2013-11-14T00:00:00Z,401.485
2013-11-15T00:00:00Z,410.68
2013-11-16T00:00:00Z,427.195
2013-11-17T00:00:00Z,457.265
2013-11-18T00:00:00Z,570.39
2013-11-19T00:00:00Z,566.5
2013-11-20T00:00:00Z,529.5
2013-11-21T00:00:00Z,655.185
2013-11-22T00:00:00Z,741.5
2013-11-23T00:00:00Z,829.905
2013-11-24T00:00:00Z,794.89
2013-11-25T00:00:00Z,804.15
2013-11-26T00:00:00Z,860
2013-11-27T00:00:00Z,924.495
2013-11-28T00:00:00Z,990.59
2013-11-29T00:00:00Z,1064.61
2013-11-30T00:00:00Z,1121.5
2013-12-01T00:00:00Z,959.355
2013-12-02T00:00:00Z,991.08
2013-12-03T00:00:00Z,1044
2013-12-04T00:00:00Z,1102.685
2013-12-05T00:00:00Z,993.5
2013-12-06T00:00:00Z,914.93
2013-12-07T00:00:00Z,693.19
2013-12-08T00:00:00Z,724
2013-12-09T00:00:00Z,833.325
2013-12-10T00:00:00Z,942.305
2013-12-11T00:00:00Z,896
2013-12-12T00:00:00Z,865.455
2013-12-13T00:00:00Z,885.21
2013-12-14T00:00:00Z,868.005
2013-12-15T00:00:00Z,836.745
2013-12-16T00:00:00Z,757.67
2013-12-17T00:00:00Z,681.255
2013-12-18T00:00:00Z,531.455
2013-12-19T00:00:00Z,596.455
2013-12-20T00:00:00Z,644.985
2013-12-21T00:00:00Z,599.44
2013-12-22T00:00:00Z,632.805
2013-12-23T00:00:00Z,636.385
2013-12-24T00:00:00Z,648.455
2013-12-25T00:00:00Z,659.115
2013-12-26T00:00:00Z,720.945
2013-12-27T00:00:00Z,732.18
2013-12-28T00:00:00Z,709.115
2013-12-29T00:00:00Z,717.725
2013-12-30T00:00:00Z,731.405
2013-12-31T00:00:00Z,724
2014-01-01T00:00:00Z,743.5
2014-01-02T00:00:00Z,770.6
2014-01-03T00:00:00Z,793.305
2014-01-04T00:00:00Z,810.1
2014-01-05T00:00:00Z,887.035
2014-01-06T00:00:00Z,935.5
2014-01-07T00:00:00Z,865.735
2014-01-08T00:00:00Z,807.395
2014-01-09T00:00:00Z,813.89
2014-01-10T00:00:00Z,830.405
2014-01-11T00:00:00Z,879.735
2014-01-12T00:00:00Z,865.73
2014-01-13T00:00:00Z,813.58
2014-01-14T00:00:00Z,818.5
2014-01-15T00:00:00Z,827.72
2014-01-16T00:00:00Z,829.505
2014-01-17T00:00:00Z,793
2014-01-18T00:00:00Z,806.56
2014-01-19T00:00:00Z,816.315
